"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","time"
"1","3",1,"3.1","lu.B","1",""
"2","6",2,"6.1","lu.B","32",""
"3","2",3,"2.1","ft.B","1",""
"4","5",4,"5.1","ft.B","32",""
"5","1",5,"1.1","cg.B","1",""
"6","4",6,"4.1","cg.B","32",""
"7","6",7,"6.2","lu.B","32",""
"8","1",8,"1.2","cg.B","1",""
"9","3",9,"3.2","lu.B","1",""
"10","2",10,"2.2","ft.B","1",""
"11","4",11,"4.2","cg.B","32",""
"12","5",12,"5.2","ft.B","32",""
"13","4",13,"4.3","cg.B","32",""
"14","3",14,"3.3","lu.B","1",""
"15","5",15,"5.3","ft.B","32",""
"16","2",16,"2.3","ft.B","1",""
"17","6",17,"6.3","lu.B","32",""
"18","1",18,"1.3","cg.B","1",""
"19","1",19,"1.4","cg.B","1",""
"20","2",20,"2.4","ft.B","1",""
"21","4",21,"4.4","cg.B","32",""
"22","6",22,"6.4","lu.B","32",""
"23","3",23,"3.4","lu.B","1",""
"24","5",24,"5.4","ft.B","32",""
"25","5",25,"5.5","ft.B","32",""
"26","3",26,"3.5","lu.B","1",""
"27","4",27,"4.5","cg.B","32",""
"28","2",28,"2.5","ft.B","1",""
"29","6",29,"6.5","lu.B","32",""
"30","1",30,"1.5","cg.B","1",""
"31","5",31,"5.6","ft.B","32",""
"32","1",32,"1.6","cg.B","1",""
"33","4",33,"4.6","cg.B","32",""
"34","6",34,"6.6","lu.B","32",""
"35","3",35,"3.6","lu.B","1",""
"36","2",36,"2.6","ft.B","1",""
"37","1",37,"1.7","cg.B","1",""
"38","4",38,"4.7","cg.B","32",""
"39","2",39,"2.7","ft.B","1",""
"40","5",40,"5.7","ft.B","32",""
"41","6",41,"6.7","lu.B","32",""
"42","3",42,"3.7","lu.B","1",""
"43","6",43,"6.8","lu.B","32",""
"44","5",44,"5.8","ft.B","32",""
"45","3",45,"3.8","lu.B","1",""
"46","2",46,"2.8","ft.B","1",""
"47","4",47,"4.8","cg.B","32",""
"48","1",48,"1.8","cg.B","1",""
"49","4",49,"4.9","cg.B","32",""
"50","3",50,"3.9","lu.B","1",""
"51","2",51,"2.9","ft.B","1",""
"52","5",52,"5.9","ft.B","32",""
"53","6",53,"6.9","lu.B","32",""
"54","1",54,"1.9","cg.B","1",""
"55","5",55,"5.10","ft.B","32",""
"56","1",56,"1.10","cg.B","1",""
"57","2",57,"2.10","ft.B","1",""
"58","3",58,"3.10","lu.B","1",""
"59","4",59,"4.10","cg.B","32",""
"60","6",60,"6.10","lu.B","32",""
"61","3",61,"3.11","lu.B","1",""
"62","1",62,"1.11","cg.B","1",""
"63","4",63,"4.11","cg.B","32",""
"64","6",64,"6.11","lu.B","32",""
"65","2",65,"2.11","ft.B","1",""
"66","5",66,"5.11","ft.B","32",""
"67","6",67,"6.12","lu.B","32",""
"68","5",68,"5.12","ft.B","32",""
"69","1",69,"1.12","cg.B","1",""
"70","3",70,"3.12","lu.B","1",""
"71","4",71,"4.12","cg.B","32",""
"72","2",72,"2.12","ft.B","1",""
"73","2",73,"2.13","ft.B","1",""
"74","3",74,"3.13","lu.B","1",""
"75","5",75,"5.13","ft.B","32",""
"76","4",76,"4.13","cg.B","32",""
"77","6",77,"6.13","lu.B","32",""
"78","1",78,"1.13","cg.B","1",""
"79","5",79,"5.14","ft.B","32",""
"80","3",80,"3.14","lu.B","1",""
"81","6",81,"6.14","lu.B","32",""
"82","1",82,"1.14","cg.B","1",""
"83","4",83,"4.14","cg.B","32",""
"84","2",84,"2.14","ft.B","1",""
"85","1",85,"1.15","cg.B","1",""
"86","2",86,"2.15","ft.B","1",""
"87","3",87,"3.15","lu.B","1",""
"88","5",88,"5.15","ft.B","32",""
"89","4",89,"4.15","cg.B","32",""
"90","6",90,"6.15","lu.B","32",""
"91","4",91,"4.16","cg.B","32",""
"92","3",92,"3.16","lu.B","1",""
"93","5",93,"5.16","ft.B","32",""
"94","6",94,"6.16","lu.B","32",""
"95","2",95,"2.16","ft.B","1",""
"96","1",96,"1.16","cg.B","1",""
"97","5",97,"5.17","ft.B","32",""
"98","2",98,"2.17","ft.B","1",""
"99","4",99,"4.17","cg.B","32",""
"100","1",100,"1.17","cg.B","1",""
"101","3",101,"3.17","lu.B","1",""
"102","6",102,"6.17","lu.B","32",""
"103","2",103,"2.18","ft.B","1",""
"104","5",104,"5.18","ft.B","32",""
"105","6",105,"6.18","lu.B","32",""
"106","1",106,"1.18","cg.B","1",""
"107","4",107,"4.18","cg.B","32",""
"108","3",108,"3.18","lu.B","1",""
"109","2",109,"2.19","ft.B","1",""
"110","1",110,"1.19","cg.B","1",""
"111","5",111,"5.19","ft.B","32",""
"112","4",112,"4.19","cg.B","32",""
"113","3",113,"3.19","lu.B","1",""
"114","6",114,"6.19","lu.B","32",""
"115","5",115,"5.20","ft.B","32",""
"116","3",116,"3.20","lu.B","1",""
"117","1",117,"1.20","cg.B","1",""
"118","2",118,"2.20","ft.B","1",""
"119","4",119,"4.20","cg.B","32",""
"120","6",120,"6.20","lu.B","32",""
